model,cohort,n,n_positive,positive_rate,threshold,roc_auc,pr_auc,brier,log_loss,accuracy,precision,recall,f1,f2,mcc,seed,regression_mae_days
xgboost_weighted,validation_all,24926,2087,0.0837278343897938,0.0735598654683792,0.6098769174265902,0.1183136053571554,0.0758369639515876,0.2819210588932037,0.4267431597528685,0.1044476141078838,0.7719214183037854,0.1839986294329278,0.3388440181726401,0.0953079115359508,,
xgboost_weighted,test_all,17838,1875,0.1051126807938109,0.0735598654683792,0.5603135918478147,0.1261302294653962,0.0939475893974304,0.3359289169311523,0.3416302276039915,0.1161415791520809,0.7962666666666667,0.2027155465037338,0.3667403586342422,0.057757847263519,,
xgboost_weighted,test_seen,11169,1131,0.1012624227773301,0.0735598654683792,0.5941896919028646,0.1366124947005893,0.0902576521039009,0.3237209916114807,0.3815919061688602,0.117787188988883,0.7869142351900973,0.2049038793599631,0.3683774834437086,0.0792148694032308,,
xgboost_weighted,test_new,6669,744,0.1115609536662168,0.0735598654683792,0.4976188693797921,0.1099003529703962,0.1001273617148399,0.3563743233680725,0.2747038536512221,0.1137950556708813,0.8104838709677419,0.1995697501241105,0.3643504531722054,0.0139562823387364,,
xgboost_weighted,test_bullpen,10947,1042,0.0951858956791815,0.0735598654683792,0.5493523405170617,0.1125035763271352,0.0860702097415924,0.31418377161026,0.3317803964556499,0.1046262448002016,0.7965451055662188,0.1849582172701949,0.3429468638955458,0.0521878225959798,,
xgboost_weighted,test_starter,6891,833,0.1208823102597591,0.0735598654683792,0.5740610869636729,0.1486721163891373,0.1064615473151207,0.3704731166362762,0.3572776084748222,0.1347013409183259,0.7959183673469388,0.2304083405734144,0.4016234552944027,0.0670225028232862,,
stack_ensemble,validation_all,24926,2087,0.0837278343897938,0.066033357338097,0.6330234434315347,0.1270038939962928,0.0754902250696907,0.2795896663221784,0.4634518173794431,0.1090946872618965,0.7546717776712986,0.1906318082788671,0.3456221198156682,0.1074461477538935,,
stack_ensemble,test_all,17838,1875,0.1051126807938109,0.066033357338097,0.557969304015536,0.1290033198701972,0.0941914828161904,0.3378360034212209,0.3818253167395448,0.1176470588235294,0.7509333333333333,0.2034241132702449,0.3616190671871789,0.0583556344338977,,
stack_ensemble,test_seen,11169,1131,0.1012624227773301,0.066033357338097,0.5899527859562487,0.1370432013925587,0.0904175128293617,0.3252717446456169,0.4168681171098576,0.1193776520509193,0.7462422634836428,0.2058285574929886,0.3639813696739692,0.078863123781085,,
stack_ensemble,test_new,6669,744,0.1115609536662168,0.066033357338097,0.4976335012023047,0.1184891715231332,0.10051199125567,0.3588781696027655,0.3231369020842705,0.1151490404246631,0.7580645161290323,0.1999291031549096,0.3581407162814325,0.0189536613917844,,
stack_ensemble,test_bullpen,10947,1042,0.0951858956791815,0.066033357338097,0.5600200949325695,0.1138568612434823,0.0861767177774054,0.3147316851591892,0.3945373161596784,0.109151973131822,0.7485604606525912,0.1905227161700048,0.3447056743857168,0.0652515805819075,,
stack_ensemble,test_starter,6891,833,0.1208823102597591,0.066033357338097,0.5496035324000844,0.1494094470847966,0.1069236890097151,0.3745393805819322,0.361631113046002,0.13023641642472,0.7539015606242497,0.22210433244916,0.3850870738287957,0.0438057143683352,,
lstm,validation_all,24926,2087,0.0837278366088867,0.0014621964893938,0.6019207849249029,0.1234882874050617,0.2222187668085098,0.6790052652359009,0.2016368450613817,0.0898457287589224,0.9348346909439388,0.1639358037139736,0.3244852476466088,0.0574400173211093,42.0,26.90492057800293
lstm,test_all,17838,1875,0.1051126793026924,0.0014621964893938,0.5211717429889954,0.1073221236912324,0.2550314366817474,0.7922897338867188,0.1983966812422917,0.1071835082837991,0.904,0.1916445248459494,0.3635154842583855,0.018873298181827,42.0,29.30440330505371
lstm,test_seen,11169,1131,0.1012624204158783,0.0014621964893938,0.5487598055770037,0.1093989791058729,0.2456156313419342,0.769085705280304,0.2017190437818963,0.1043000914913083,0.9071618037135278,0.187089715536105,0.3572174639649049,0.027363964878424,42.0,28.28043556213379
lstm,test_new,6669,744,0.1115609556436538,0.0014621964893938,0.4728719205117735,0.1059538996945929,0.270800769329071,0.8311510682106018,0.1928325086219823,0.1119290614020411,0.8991935483870968,0.1990775182264544,0.3736177817491343,0.0034363199801263,42.0,30.86100578308105
lstm,test_bullpen,10947,1042,0.0951858982443809,0.0014621964893938,0.5165694055136076,0.0965705462249017,0.2416438907384872,0.7391467690467834,0.1754818671782223,0.0948853257560381,0.8973128598848369,0.1716226138032305,0.333404649835972,-0.0030752167885022,42.0,29.46408462524414
lstm,test_starter,6891,833,0.1208823099732399,0.0014621964893938,0.5250178645244826,0.1217478273403716,0.2762988805770874,0.8767123222351074,0.2347990132056305,0.1275167785234899,0.9123649459783914,0.2237597526865891,0.4089539388721481,0.0514931577352517,42.0,29.104660034179688
lstm,validation_all,24926,2087,0.0837278366088867,0.2532826777208934,0.622332662463624,0.1212395228859784,0.2260439097881317,0.6261469721794128,0.4147075343015325,0.1042167911865265,0.7886919022520364,0.1841060343381242,0.3408996769116063,0.0972827381788476,52.0,24.96297836303711
