model,cohort,n_runs,roc_auc_mean,roc_auc_sd,pr_auc_mean,pr_auc_sd,f1_mean,recall_mean,precision_mean,brier_mean
lstm,test_all,3,0.5388303173310502,0.01838049913066549,0.11579740215372424,0.010376393999077199,0.19768301760664708,0.8042666666666666,0.11289321592673553,0.24677159388860062
lstm,test_bullpen,3,0.535461355041803,0.01817036287010085,0.10437062809531163,0.01085534815721682,0.18413584084777201,0.8029430582213691,0.10424038175026107,0.22894709805647528
lstm,test_new,3,0.4935660813937661,0.018770916178965764,0.11438252372940445,0.00742807859159024,0.20033074093512634,0.821236559139785,0.11417277012271426,0.2694802780946095
lstm,test_seen,3,0.5628180406350944,0.016891767024938525,0.1185935474177337,0.014124851157013773,0.19605001778617615,0.7931034482758621,0.11215376228894636,0.2332122673590978
lstm,test_starter,3,0.5351304602395596,0.017213601988324907,0.12964885140217372,0.010675749852006741,0.21820331546614613,0.805922368947579,0.12631056641029717,0.27508748571077984
lstm,validation_all,3,0.6125554380479331,0.010232916209715807,0.12177889567689183,0.0015135863704215833,0.17677575288162264,0.8294202204120747,0.09917920789329622,0.21494397521018982
resnet,test_all,3,0.5747567137895272,0.00033690096834878354,0.1348539913271628,0.002555358735253422,0.2044737751223181,0.8225777777777777,0.11677949820730173,0.0936929161349932
resnet,test_bullpen,3,0.5734766752478682,0.014071394376463228,0.12041560345110093,0.004229171453527245,0.189098556715065,0.8035828534868842,0.10716950697321055,0.08575862397750213
resnet,test_new,3,0.5226808372275911,0.007841885213075769,0.11660693206325479,0.0037364335725943334,0.20455893445515613,0.825268817204301,0.11681907113547389,0.09987912327051159
resnet,test_seen,3,0.6033691629925939,0.0032252431010565447,0.14761254376402969,0.002537579562964451,0.20440183404779824,0.820807544945476,0.11675674901262734,0.08999914675951
resnet,test_starter,3,0.5691726674162566,0.011670211608539038,0.15460241687175755,0.0032181127879688165,0.226235966990312,0.8463385354141657,0.13068472964009462,0.10629729678233457
resnet,validation_all,3,0.6144689178212334,0.004402489598269949,0.1214238132395067,0.000516613606551191,0.1789044940426819,0.7941223446733748,0.10088096521141067,0.07574777056773496
vit,test_all,3,0.5445646279242972,0.023859720866101202,0.1148755664460494,0.009450378461193334,0.20113625005936106,0.7872,0.11530882746411976,0.18985538929700851
vit,test_bullpen,3,0.5438841741263695,0.03571752549029405,0.10342008416602487,0.009890921552891858,0.1835546108586548,0.7863083813179782,0.10391367271967906,0.18386621524890265
vit,test_new,3,0.4986080486366317,0.03465981738427132,0.11098460198383907,0.010561426345352334,0.20085470049225165,0.7939068100358423,0.1149854314443608,0.2021562159061432
vit,test_seen,3,0.5707282118694613,0.020665919622012297,0.11837507294743954,0.009929590674956582,0.20132998119025544,0.7827880931329206,0.11552982344203212,0.18251059204339978
vit,test_starter,3,0.544633799376469,0.00849641716720715,0.13237242385966388,0.008295422532612458,0.22851389787750157,0.7883153261304522,0.13364366583968942,0.19936976830164588
vit,validation_all,3,0.5981172003249149,0.019776452005534916,0.10774908690799423,0.0037326735039904854,0.1844805769132153,0.7752755150934355,0.1047537979219802,0.16169920066992435
xgboost_weighted,test_all,1,0.5603135918478147,,0.1261302294653962,,0.2027155465037338,0.7962666666666667,0.1161415791520809,0.0939475893974304
xgboost_weighted,test_bullpen,1,0.5493523405170617,,0.1125035763271352,,0.1849582172701949,0.7965451055662188,0.1046262448002016,0.0860702097415924
xgboost_weighted,test_new,1,0.4976188693797921,,0.1099003529703962,,0.1995697501241105,0.8104838709677419,0.1137950556708813,0.1001273617148399
xgboost_weighted,test_seen,1,0.5941896919028646,,0.1366124947005893,,0.2049038793599631,0.7869142351900973,0.117787188988883,0.0902576521039009
xgboost_weighted,test_starter,1,0.5740610869636729,,0.1486721163891373,,0.2304083405734144,0.7959183673469388,0.1347013409183259,0.1064615473151207
xgboost_weighted,validation_all,1,0.6098769174265902,,0.1183136053571554,,0.1839986294329278,0.7719214183037854,0.1044476141078838,0.0758369639515876
